city,alpha,beta,w,tour_len,seconds
AISearchfile042.txt,1.2,1.0,0.5,1897,1.21
AISearchfile042.txt,1.2,1.0,0.7,2207,1.56
AISearchfile042.txt,1.2,1.0,0.9,2244,2.29
AISearchfile042.txt,1.2,1.2,0.5,1961,1.26
AISearchfile042.txt,1.2,1.2,0.7,2308,1.64
AISearchfile042.txt,1.2,1.2,0.9,2307,2.4
AISearchfile042.txt,1.2,1.4,0.5,1940,1.21
AISearchfile042.txt,1.2,1.4,0.7,2172,1.64
AISearchfile042.txt,1.2,1.4,0.9,2251,2.41
AISearchfile042.txt,1.2,1.6,0.5,2135,1.43
AISearchfile042.txt,1.2,1.6,0.7,2274,1.72
AISearchfile042.txt,1.2,1.6,0.9,2269,2.58
AISearchfile042.txt,1.2,1.8,0.5,2192,1.51
AISearchfile042.txt,1.2,1.8,0.7,2210,1.76
AISearchfile042.txt,1.2,1.8,0.9,2225,2.68
AISearchfile042.txt,1.2,2.0,0.5,2085,1.47
